Zone, Tile_no, Seg_no, Reso, Seg_d_size, Seg_d_time, Bitrate, Bitrate1, Buf_lev, Buf_limit, Elapsed, Ref_vp, Local_avg,qt_sw,QoE,delay,jitter,loss
Z3,29,2,720,6872.0,0.703677,9765.844272,9768.0,1.0,2,38.040578,3765.358788,3765.358788,0.0,9606.569786600001,300,0,0
Z3,30,2,720,6872.0,0.703545,9767.676552,9768.0,1.0,2,38.040578,3765.725244,3765.725244,0.0,9608.402066600001,300,0,0
Z3,31,2,720,6376.0,0.703548,9062.636807,9064.0,1.0,2,38.040578,3624.717295,3624.717295,0.0,8903.362321600001,300,0,0
Z3,32,2,720,6872.0,0.703679,9765.816516,9768.0,1.0,2,38.040578,3765.353236,3765.353236,0.0,9606.542030600001,300,0,0
Z3,33,2,720,6872.0,0.703677,9765.844272,9768.0,1.0,2,38.040578,3765.358788,3765.358788,0.0,9606.569786600001,300,0,0
Z3,34,2,720,6376.0,0.703538,9062.765622,9064.0,1.0,2,38.040578,3624.743058,3624.743058,0.0,8903.491136600001,300,0,0
Z3,35,2,720,6872.0,0.703548,9767.634902,9768.0,1.0,2,38.040578,3765.716914,3765.716914,0.0,9608.3604166,300,0,0
Z3,36,2,720,6872.0,0.703682,9765.774881,9768.0,1.0,2,38.040578,3765.344909,3765.344909,0.0,9606.5003956,300,0,0
Z3,37,2,720,6376.0,0.703671,9061.052679,9064.0,1.0,2,38.040578,3624.400469,3624.400469,0.0,8901.778193600001,300,0,0
Z3,38,2,720,6872.0,0.703676,9765.858151,9768.0,1.0,2,38.040578,3765.361563,3765.361563,0.0,9606.583665600001,300,0,0
